la_code,la_name,lts_count,adults_18plus,adults_65plus,share_65plus,assess_count,region,imd_score,vacancy_rate,ascof_1a,lts_rate,assess_rate,observed_expected
E10000012,Essex,17135,1234168,325861,0.26403293554848284,16040.0,East of England,17.016,8.97892423906014,18.6,1388.38472558031,1299.6609861866457,0.9655232860599816
E08000037,Gateshead,2860,162346,41321,0.25452428763258717,2975.0,North East,28.217,7.608184291244891,19.4,1761.669520653419,1832.505882497875,0.9714707820053495
E10000013,Gloucestershire,6215,536217,148036,0.276074798076152,3785.0,South West,14.932,5.51119294273783,18.7,1159.0456848626584,705.8709440394467,0.8760854189637373
E09000011,Greenwich,3210,234203,32234,0.13763273741156176,2225.0,London,24.464,7.0350986554468795,18.7,1370.6058419405388,950.0305290709342,0.9279202984589983
E09000012,Hackney,3845,212567,22600,0.10631941928897712,2305.0,London,32.526,6.604229065020039,18.8,1808.8414476376859,1084.363988765895,1.102503849487729
E06000006,Halton,1985,103804,25379,0.24448961504373629,2445.0,North West,32.325,7.60030511057902,19.0,1912.2577164656468,2355.400562598744,1.0163216727978501
E09000013,Hammersmith and Fulham,2925,156732,20499,0.13079013858050687,1625.0,London,22.27,5.93451237855792,17.4,1866.2430135517955,1036.8016741954418,1.3288029644285586
E10000014,Hampshire,14615,1158484,324772,0.2803422403762158,6680.0,South East,12.693,7.69462966088636,19.1,1261.5625248169158,576.6156459648989,0.9634774036575671
E09000014,Haringey,3840,210202,29751,0.14153528510670688,2440.0,London,27.956,5.97641445487634,18.1,1826.8142072863245,1160.7881942131853,1.1547191187495809
E09000015,Harrow,2710,210272,42587,0.20253290975498403,3085.0,London,15.031,8.39591312701156,19.1,1288.806878709481,1467.147313955258,0.9487808525693272
E06000001,Hartlepool,1500,77090,19648,0.2548709300817227,1565.0,North East,35.037,1.7876371190737699,20.1,1945.7776624724347,2030.094694512907,0.9503159305609344
E09000016,Havering,2900,212497,47709,0.2245161108156821,1585.0,London,16.789,9.25841565221743,19.0,1364.725149060928,745.8928831936452,0.9434576728622726
E06000019,"Herefordshire, County of",1955,156608,51516,0.32894871270944015,765.0,West Midlands,18.89,4.4385545290176704,19.6,1248.3398038414384,488.48079280751944,0.8379367846987684
E10000015,Hertfordshire,11880,958711,216310,0.2256258663976944,13350.0,East of England,12.732,6.80790916895764,19.2,1239.1638356084368,1392.4947142569556,0.9839200862718104
E09000017,Hillingdon,2930,253661,43198,0.1702981538352368,3545.0,London,18.223,10.446830756580109,19.1,1155.0849361943697,1397.534504712983,0.8366807392288855
E09000018,Hounslow,3080,231870,36624,0.15795057575365506,1400.0,London,21.487,10.12405150331297,18.7,1328.3305300383836,603.7866045629016,0.921796012948798
